"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 24 14:55:14 MSK 2022","Sun Apr 24 14:55:16 MSK 2022","1542","test","test_add_contact_in_group","","","","test_add_some_contact_in_some_group",""
"passed","Sun Apr 24 14:55:12 MSK 2022","Sun Apr 24 14:55:14 MSK 2022","1964","test","test_add_contact","","","","test_add_contact[None:firstnameSb?cx:lastname jM0Q#z >:addressmo$FHg cKpJy[CNILG:homephone>o|: l0_ :emailU~>dKfM<]",""
"passed","Sun Apr 24 14:55:29 MSK 2022","Sun Apr 24 14:55:31 MSK 2022","2018","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Sun Apr 24 14:55:03 MSK 2022","Sun Apr 24 14:55:05 MSK 2022","1936","test","test_add_contact","","","","test_add_contact[None:firstnameg:lastname5O uM zLSd o7:addresslQL-Hw:homephone,bXN0:email[]",""
"passed","Sun Apr 24 14:55:31 MSK 2022","Sun Apr 24 14:55:32 MSK 2022","1528","test","test_del_contact_from_group","","","","test_delete_some_contact_from_some_group",""
"passed","Sun Apr 24 14:55:24 MSK 2022","Sun Apr 24 14:55:27 MSK 2022","2552","test","test_contact_info_on_home_page","","","","test_contact_info_on_home_page_with_ui",""
"passed","Sun Apr 24 14:55:27 MSK 2022","Sun Apr 24 14:55:27 MSK 2022","1","test","test_contact_info_on_home_page","","","","test_contact_info_on_home_page_with_ui_and_db",""
"passed","Sun Apr 24 14:55:38 MSK 2022","Sun Apr 24 14:55:40 MSK 2022","1699","test","test_edit_contact","","","","test_edit_some_contact[None:None:None:None:None:email]",""
"passed","Sun Apr 24 14:55:33 MSK 2022","Sun Apr 24 14:55:34 MSK 2022","635","test","test_del_group","","","","test_delete_some_group",""
"passed","Sun Apr 24 14:55:34 MSK 2022","Sun Apr 24 14:55:36 MSK 2022","1719","test","test_edit_contact","","","","test_edit_some_contact[None:firstname:None:None:None:None]",""
"passed","Sun Apr 24 14:55:00 MSK 2022","Sun Apr 24 14:55:02 MSK 2022","1968","test","test_add_contact","","","","test_add_contact[None:::::]",""
"passed","Sun Apr 24 14:55:07 MSK 2022","Sun Apr 24 14:55:09 MSK 2022","1975","test","test_add_contact","","","","test_add_contact[None:firstname:lastname* }r:addressyL cfdH,Q<5E$1)d X:homephonew b:emailR U<A l]",""
"passed","Sun Apr 24 14:55:17 MSK 2022","Sun Apr 24 14:55:18 MSK 2022","1219","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Sun Apr 24 14:55:19 MSK 2022","Sun Apr 24 14:55:20 MSK 2022","1248","test","test_add_group","","","","test_add_group[None:nameieW:header Mm5Bw$ kbsxHO:footerUK8/gCbB1W^5&>}hT]",""
"passed","Sun Apr 24 14:55:22 MSK 2022","Sun Apr 24 14:55:23 MSK 2022","1251","test","test_add_group","","","","test_add_group[None:nameme3Dj:header hN+&[K X:footerWTPZ ow[O:Qv]",""
"passed","Sun Apr 24 14:55:23 MSK 2022","Sun Apr 24 14:55:24 MSK 2022","1204","test","test_add_group","","","","test_add_group[None:nameM!>@s:header-RpR&Y1>]:footerO]",""
"passed","Sun Apr 24 14:55:40 MSK 2022","Sun Apr 24 14:55:41 MSK 2022","1045","test","test_edit_group","","","","test_edit_some_group[None:name:None:None]",""
"passed","Sun Apr 24 14:55:42 MSK 2022","Sun Apr 24 14:55:43 MSK 2022","1011","test","test_edit_group","","","","test_edit_some_group[None:None:None:footer]",""
"passed","Sun Apr 24 14:55:05 MSK 2022","Sun Apr 24 14:55:07 MSK 2022","1931","test","test_add_contact","","","","test_add_contact[None:firstname:lastname:t~}{mk:addressY*2[u[i{iX]7:homephoneOd@/f5#m=7:email-Q42yPHf;9GO]",""
"passed","Sun Apr 24 14:55:18 MSK 2022","Sun Apr 24 14:55:19 MSK 2022","1229","test","test_add_group","","","","test_add_group[None:name:headerJ3T:footer4*  guFM6e6 a+]",""
"passed","Sun Apr 24 14:55:41 MSK 2022","Sun Apr 24 14:55:42 MSK 2022","966","test","test_edit_group","","","","test_edit_some_group[None:None:header:None]",""
"passed","Sun Apr 24 14:55:36 MSK 2022","Sun Apr 24 14:55:38 MSK 2022","1758","test","test_edit_contact","","","","test_edit_some_contact[None:None:None:address:None:None]",""
"passed","Sun Apr 24 14:55:20 MSK 2022","Sun Apr 24 14:55:22 MSK 2022","1288","test","test_add_group","","","","test_add_group[None:nameA&Z>:header:footermLa<>>]",""
"passed","Sun Apr 24 14:55:43 MSK 2022","Sun Apr 24 14:55:46 MSK 2022","2580","test","test_phones","","","","test_phones_on_home_page",""
"passed","Sun Apr 24 14:55:29 MSK 2022","Sun Apr 24 14:55:29 MSK 2022","2","test","test_db_matches_ui","","","","test_contact_list",""
"passed","Sun Apr 24 14:55:10 MSK 2022","Sun Apr 24 14:55:11 MSK 2022","1925","test","test_add_contact","","","","test_add_contact[None:firstnamet@k:lastname(74BE8Lpm:addressz%v]}NI|@U:homephoneF 8l 2)Xj:emailMrvLN$ G5,]",""
"passed","Sun Apr 24 14:55:27 MSK 2022","Sun Apr 24 14:55:29 MSK 2022","1655","test","test_db_matches_ui","","","","test_group_list",""
